43.83252918	33.10507567	Iraq
35.02792347	31.51354222	Israel
36.95728885	31.38706488	Jordan
35.89651946	33.91160171	Lebanon
35.24251184	31.93081874	Palestinian Territory
30.38518569	7.657782042	South Sudan
29.95145828	15.67060231	Sudan
38.51173231	35.09751106	Syria
35.56886764	38.93207363	Turkey
32.34371768	1.282172922	Uganda
1.580224361	42.54859835	Andorra
-96.33161661	38.82080892	United States
2.194023663	46.64236822	France
9.547674672	47.14627562	Liechtenstein
7.412820873	43.74798225	Monaco
8.286928795	46.73678129	Switzerland
4.675010155	50.61821389	Belgium
10.42617143	51.0830454	Germany
6.103230338	49.77523455	Luxembourg
5.554136426	52.13405413	Netherlands
20.06108277	41.14165895	Albania
13.79777836	47.63185827	Austria
17.83467241	44.14415356	Bosnia and Herzegovina
16.62576113	44.91192101	Croatia
15.38327329	49.74917371	Czech Republic
9.378670542	56.00118818	Denmark
19.39620048	47.22527332	Hungary
12.76365717	42.98201128	Italy
19.29505087	42.73694835	Montenegro
19.43573279	52.06848056	Poland
12.46127835	43.94282073	San Marino
20.85677444	44.0267987	Serbia
19.58101536	48.69808391	Slovakia
14.8906369	46.1375923	Slovenia
21.70998924	41.5940289	North Macedonia
12.45131292	41.90402351	Vatican City
16.67025927	64.97775883	Norway
17.06243199	62.73420986	Sweden
27.96425205	53.46791375	Belarus
25.25173912	42.82043677	Bulgaria
25.91687025	58.64810831	Estonia
25.65738433	65.0157896	Finland
43.37886653	42.17986278	Georgia
24.69367133	56.81385305	Latvia
23.94602161	55.29437393	Lithuania
28.39111187	47.07256746	Moldova
25.0941582	45.82454894	Romania
31.27377208	48.65753252	Ukraine
66.59216131	34.13402601	Afghanistan
50.5406954	26.04798502	Bahrain
81.17300409	23.58630057	India
54.237077	32.90602374	Iran
47.56311109	29.28136097	Kuwait
73.10076245	-0.6065577168	Maldives
84.13388983	28.3009207	Nepal
55.84108812	20.72428332	Oman
69.08835091	30.11618837	Pakistan
51.19794919	25.31852849	Qatar
44.60095818	24.13603814	Saudi Arabia
45.40037867	6.524534573	Somalia
80.6693117	7.696630939	Sri Lanka
70.94215281	38.56933138	Tajikistan
58.45773576	39.06069118	Turkmenistan
54.27920526	24.18250292	United Arab Emirates
